
MP7: 
| ImageID | Keypoints | Detector |
| 0 | BRISK | 41.4043 | 2.96025 |
| 1 | BRISK | 42.315 | 3.44656 |
| 2 | BRISK | 40.4463 | 3.18979 |
| 3 | BRISK | 40.7962 | 3.20856 |
| 4 | BRISK | 41.3186 | 3.6059 |
| 5 | BRISK | 41.5697 | 3.25745 |
| 6 | BRISK | 41.5076 | 3.48741 |
| 7 | BRISK | 39.5483 | 3.12336 |
| 8 | BRISK | 42.4926 | 3.20861 |
| 9 | BRISK | 40.4087 | 2.99008 |
| 0 | FAST | 0.4082 | 2.39247 |
| 1 | FAST | 0.308077 | 1.90024 |
| 2 | FAST | 0.374084 | 2.44421 |
| 3 | FAST | 0.345346 | 1.49093 |
| 4 | FAST | 0.316919 | 2.32556 |
| 5 | FAST | 0.363222 | 2.02154 |
| 6 | FAST | 0.389825 | 1.67072 |
| 7 | FAST | 0.382327 | 2.75172 |
| 8 | FAST | 0.407404 | 2.26209 |
| 9 | FAST | 0.39622 | 2.38808 |
| 0 | HARRIS | 17.0556 | 0.85907 |
| 1 | HARRIS | 14.2557 | 1.62608 |
| 2 | HARRIS | 14.5636 | 1.83332 |
| 3 | HARRIS | 15.5463 | 1.88132 |
| 4 | HARRIS | 15.3705 | 2.16156 |
| 5 | HARRIS | 15.4765 | 2.12666 |
| 6 | HARRIS | 15.3559 | 1.97799 |
| 7 | HARRIS | 15.8314 | 3.10166 |
| 8 | HARRIS | 15.362 | 2.15409 |
| 9 | HARRIS | 15.2579 | 1.92891 |
| 0 | ORB | 7.21606 | 1.24721 |
| 1 | ORB | 7.89515 | 1.38249 |
| 2 | ORB | 7.47214 | 1.33586 |
| 3 | ORB | 7.45107 | 1.58151 |
| 4 | ORB | 7.17282 | 1.40608 |
| 5 | ORB | 7.40386 | 1.67282 |
| 6 | ORB | 7.21766 | 1.66463 |
| 7 | ORB | 7.2372 | 1.58632 |
| 8 | ORB | 7.83792 | 1.59692 |
| 9 | ORB | 7.27403 | 1.92629 |
| 0 | SHITOMASI | 14.9874 | 1.55784 |
| 1 | SHITOMASI | 13.306 | 2.49517 |
| 2 | SHITOMASI | 15.4067 | 1.83838 |
| 3 | SHITOMASI | 11.8363 | 1.57233 |
| 4 | SHITOMASI | 13.2677 | 2.40342 |
| 5 | SHITOMASI | 16.7015 | 2.31293 |
| 6 | SHITOMASI | 16.3316 | 2.36684 |
| 7 | SHITOMASI | 16.4723 | 2.1795 |
| 8 | SHITOMASI | 16.3245 | 2.16501 |
| 9 | SHITOMASI | 16.493 | 2.28941 |
| 0 | SIFT | 132.009 | 1.60894 |
| 1 | SIFT | 124.801 | 1.69135 |
| 2 | SIFT | 133.454 | 1.4876 |
| 3 | SIFT | 125.619 | 1.76355 |
| 4 | SIFT | 129.219 | 1.62182 |
| 5 | SIFT | 125.736 | 1.64295 |
| 6 | SIFT | 127.901 | 1.72879 |
| 7 | SIFT | 133.917 | 1.82344 |
| 8 | SIFT | 130.607 | 1.84064 |
| 9 | SIFT | 133.072 | 1.71479 |

MP9, Descriptor with timing:BRIEF
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 88.0709 | 1.23216 |
| 1 | AKAZE | 87.8557 | 1.11734 |
| 2 | AKAZE | 82.0616 | 1.14365 |
| 3 | AKAZE | 85.3035 | 1.25474 |
| 4 | AKAZE | 82.1357 | 1.21745 |
| 5 | AKAZE | 84.0133 | 1.11606 |
| 6 | AKAZE | 82.2974 | 1.72888 |
| 7 | AKAZE | 84.8818 | 1.22086 |
| 8 | AKAZE | 83.9977 | 1.65774 |
| 9 | AKAZE | 84.1004 | 1.91848 |
| 0 | BRISK | 42.1637 | 1.4078 |
| 1 | BRISK | 42.7832 | 2.2907 |
| 2 | BRISK | 41.8318 | 1.4466 |
| 3 | BRISK | 41.1844 | 1.39672 |
| 4 | BRISK | 40.3813 | 1.52722 |
| 5 | BRISK | 42.3372 | 1.4017 |
| 6 | BRISK | 41.5636 | 1.40264 |
| 7 | BRISK | 40.2505 | 1.28531 |
| 8 | BRISK | 40.0253 | 1.1729 |
| 9 | BRISK | 40.2626 | 1.20873 |
| 0 | FAST | 0.452973 | 1.11936 |
| 1 | FAST | 0.397321 | 1.37327 |
| 2 | FAST | 0.364011 | 0.765633 |
| 3 | FAST | 0.359122 | 1.80958 |
| 4 | FAST | 0.378981 | 0.916756 |
| 5 | FAST | 0.36435 | 0.902904 |
| 6 | FAST | 0.362242 | 1.39721 |
| 7 | FAST | 0.385291 | 0.869488 |
| 8 | FAST | 0.420878 | 0.882569 |
| 9 | FAST | 0.420402 | 1.01261 |
| 0 | HARRIS | 16.2404 | 0.576004 |
| 1 | HARRIS | 13.2554 | 1.14602 |
| 2 | HARRIS | 13.9442 | 1.2321 |
| 3 | HARRIS | 13.9051 | 1.23984 |
| 4 | HARRIS | 14.0887 | 1.31754 |
| 5 | HARRIS | 14.9272 | 1.2718 |
| 6 | HARRIS | 13.8799 | 1.32259 |
| 7 | HARRIS | 13.9203 | 1.67845 |
| 8 | HARRIS | 13.661 | 1.51145 |
| 9 | HARRIS | 13.7124 | 1.1589 |
| 0 | ORB | 8.38976 | 0.602408 |
| 1 | ORB | 8.08742 | 0.731902 |
| 2 | ORB | 7.27215 | 0.719764 |
| 3 | ORB | 7.59035 | 0.820253 |
| 4 | ORB | 7.61702 | 0.723061 |
| 5 | ORB | 7.15257 | 0.693954 |
| 6 | ORB | 7.3164 | 0.77021 |
| 7 | ORB | 7.17212 | 0.762571 |
| 8 | ORB | 7.79834 | 0.861895 |
| 9 | ORB | 7.40363 | 0.75449 |
| 0 | SHITOMASI | 14.5043 | 0.736687 |
| 1 | SHITOMASI | 13.0728 | 1.34215 |
| 2 | SHITOMASI | 13.7829 | 0.798307 |
| 3 | SHITOMASI | 10.9585 | 0.786983 |
| 4 | SHITOMASI | 12.7511 | 1.35373 |
| 5 | SHITOMASI | 14.2742 | 0.750516 |
| 6 | SHITOMASI | 11.0904 | 0.671305 |
| 7 | SHITOMASI | 12.5535 | 1.22407 |
| 8 | SHITOMASI | 15.0113 | 1.25037 |
| 9 | SHITOMASI | 13.6737 | 0.678152 |
| 0 | SIFT | 130.499 | 1.07665 |
| 1 | SIFT | 133.586 | 1.01812 |
| 2 | SIFT | 125.322 | 0.909873 |
| 3 | SIFT | 130.633 | 0.942762 |
| 4 | SIFT | 130.157 | 0.920156 |
| 5 | SIFT | 132.478 | 1.05355 |
| 6 | SIFT | 128.883 | 1.07962 |
| 7 | SIFT | 132.408 | 0.89221 |
| 8 | SIFT | 129.614 | 1.02039 |
| 9 | SIFT | 125.762 | 0.920777 |

MP9, Descriptor with timing:ORB
| ImageID | Keypoint Detector | KeyPoints Time | Desription Time |
| 0 | AKAZE | 86.6716 | 3.2336 |
| 1 | AKAZE | 74.0816 | 3.04732 |
| 2 | AKAZE | 74.6454 | 3.0752 |
| 3 | AKAZE | 75.251 | 2.98271 |
| 4 | AKAZE | 73.9562 | 3.12243 |
| 5 | AKAZE | 70.1583 | 3.38275 |
| 6 | AKAZE | 74.887 | 3.13806 |
| 7 | AKAZE | 74.1368 | 3.03571 |
